gene_id,alpha-ketoglutarate,carnitine,glutamate
ENSG00000000003,0.29400470457895406,0.31961303499516935,0.12061278704230907
ENSG00000000005,0.0,0.0,0.0
ENSG00000000419,0.25184638050059005,0.18361255508900762,0.17031947857566535
ENSG00000000457,0.2877446548186504,0.1635848260035104,0.2842249380388459
ENSG00000000460,0.1505203068680335,0.19523663938569555,0.126202179671211
ENSG00000000938,0.2456577279318924,0.25047050027583667,0.13865214800061695
ENSG00000000971,0.1878049897377317,0.0,0.19402456047425148
ENSG00000001036,0.3121954731485672,0.3089987221183053,0.20571885908515308
ENSG00000001084,0.09198908585743731,0.0,0.26841334168759023
ENSG00000001167,0.2779359819331172,0.2391876786945854,0.21365378126020312
ENSG00000001460,0.12522690870496989,0.14398010085413143,0.07520982316827378
ENSG00000001461,0.0,0.0,0.0
ENSG00000001497,0.07134068298551285,0.1591301726546447,0.0
ENSG00000001561,0.12885965579372677,0.0,0.1602662881020847
ENSG00000001617,0.13788290230636263,0.2347465076134628,0.0
ENSG00000001626,0.0,0.10580877911158006,0.0
ENSG00000001629,0.0,0.09689867553270944,0.0
ENSG00000001630,0.0,0.0,0.0837674656494353
ENSG00000001631,0.12485580521503388,0.08004936269585854,0.12345425101781225
ENSG00000002016,0.1198111314660859,0.09492957542095293,0.09616164512896713
ENSG00000002079,0.2512589475048739,0.24563407828442535,0.1410198077740187
ENSG00000002330,0.15073044998005725,0.1567250290592186,0.11444376053100874
ENSG00000002549,0.0,0.08414346559655797,0.0
ENSG00000002586,0.16889930852796908,0.09746844475021274,0.19988110104817483
ENSG00000002587,0.0669191977902556,0.20854580495211109,0.0
ENSG00000002726,0.0,0.12665642911386193,0.1470802402868039
ENSG00000002745,0.0,0.0,0.0
ENSG00000002746,0.1959403390557263,0.12353836683340925,0.22825589027573537
ENSG00000002822,0.11205453924476243,0.18375529718851036,0.0
ENSG00000002834,0.20694073263233567,0.22306990758712678,0.13793559190011692
ENSG00000002919,0.0,0.0,0.0
ENSG00000002933,0.15803073958461947,0.0,0.22313601551634452
ENSG00000003056,0.0,0.06791623882247884,0.0
ENSG00000003096,0.14500278411372586,0.1164053405116466,0.15756134020627777
ENSG00000003137,0.26464191844432816,0.2900334102953436,0.18646840199510875
ENSG00000003147,0.17551352076861002,0.06685984429677322,0.2811343452210988
ENSG00000003249,0.15320160789470103,0.26249342614342475,0.0
ENSG00000003393,0.13929102469718055,0.10843239496745842,0.13246455486388467
ENSG00000003400,0.07133012813355724,0.08845972370239269,0.0
ENSG00000003402,0.0,0.0,0.0967526574031279
ENSG00000003436,0.31769690792902344,0.24204344089617008,0.22321861857093225
ENSG00000003509,0.0,0.0,0.0
ENSG00000003756,0.22035131675929587,0.2224504185910455,0.13189132497676517
ENSG00000003987,0.06958500957906871,0.0,0.0
ENSG00000003989,0.20555693943120817,0.20633634786815822,0.13029154008603505
ENSG00000004059,0.07150062542230097,0.08588686842371906,0.12897616884220606
ENSG00000004139,0.1219243906905242,0.0,0.06768173653169994
ENSG00000004142,0.0,0.0,0.0
ENSG00000004399,0.0,0.0,0.0
ENSG00000004455,0.0,0.15713716778596243,0.06942034133507431
ENSG00000004468,0.2735865536318518,0.31549150100343687,0.15198568881283195
ENSG00000004478,0.06985133651841141,0.0,0.172158659334992
ENSG00000004487,0.10070809362691222,0.13195148376286212,0.0
ENSG00000004534,0.2799626620132068,0.2717442603530344,0.1906617279688361
ENSG00000004660,0.1498924055932966,0.12464319890810573,0.0
ENSG00000004700,0.07243662314730846,0.08131592012201462,0.1486071774287188
ENSG00000004766,0.0,0.0,0.07859989511089359
ENSG00000004776,0.0,0.06890516334918607,0.0
ENSG00000004777,0.2864529040127262,0.23928878474931095,0.19041410568711087
ENSG00000004779,0.0,0.0,0.1165658504725758
ENSG00000004799,0.15129607370093798,0.2916042369676726,0.0
ENSG00000004809,0.14252342634344095,0.10163245072777506,0.0
ENSG00000004838,0.11762876703720423,0.07620369334550911,0.10273949583040341
ENSG00000004846,0.11918588770857819,0.08364906349392781,0.13399154581500597
ENSG00000004848,0.0,0.09554598362687997,0.1018752288487673
ENSG00000004864,0.1680640120609567,0.1669783999639183,0.0
ENSG00000004866,0.0,0.08027235405454108,0.06956392552138442
ENSG00000004897,0.07473025657471559,0.0,0.12110521804102399
ENSG00000004939,0.0732912020874312,0.0,0.0
ENSG00000004948,0.10831158436439299,0.1343277389528735,0.0
ENSG00000004961,0.27242329364264695,0.20733458264211768,0.22963457155242079
ENSG00000004975,0.0,0.10741449410126191,0.0
ENSG00000005001,0.0,0.23646004107944027,0.10255428553114328
ENSG00000005007,0.2290790648357433,0.19025248792327004,0.16197590070489856
ENSG00000005020,0.07810621203091099,0.08040338591923803,0.0
ENSG00000005022,0.0,0.0,0.098803390348212
ENSG00000005059,0.10987534366559204,0.16121264096843965,0.0
ENSG00000005073,0.08425304803007595,0.17019425637038,0.0
ENSG00000005075,0.0,0.0,0.0
ENSG00000005100,0.0,0.11255437857465637,0.0
ENSG00000005102,0.1626220122670999,0.09408562048153489,0.2069346257668413
ENSG00000005108,0.0,0.0,0.09320153652170152
ENSG00000005156,0.2211125912124112,0.16796415602937995,0.19150372983245495
ENSG00000005175,0.0,0.07204017144100289,0.0
ENSG00000005187,0.06888476958599857,0.0,0.09430308888638027
ENSG00000005189,0.2131903290471969,0.1586471801228607,0.1884282899897597
ENSG00000005194,0.0,0.07653021129411211,0.0
ENSG00000005206,0.3515028628127442,0.1945019710149153,0.24586695280551932
ENSG00000005238,0.18169332067463764,0.12095943236948802,0.1622621324964737
ENSG00000005243,0.24066841685815013,0.14260279718842722,0.2160148008545785
ENSG00000005249,0.0,0.10277932838575639,0.0
ENSG00000005302,0.11072951998011225,0.146933119230925,0.0
