gene_id,glutathione oxidized,glutathione reduced
ENSG00000000003,0.28772894896828827,0.26233570436387577
ENSG00000000005,0.0,0.0
ENSG00000000419,0.1847777114302594,0.1295019348241498
ENSG00000000457,0.197251613835853,0.17972411356922185
ENSG00000000460,0.13173650404101572,0.14150533140249602
ENSG00000000938,0.21451682206421624,0.22880304161402137
ENSG00000000971,0.17294369383396768,0.188377305124093
ENSG00000001036,0.3116255703828404,0.30030796504324275
ENSG00000001084,0.20050925115065774,0.2384517520747224
ENSG00000001167,0.27119735346246804,0.2672979781409234
ENSG00000001460,0.18789486251044474,0.19035548434124974
ENSG00000001461,0.0,0.0
ENSG00000001497,0.14076320477490448,0.13690517870818628
ENSG00000001561,0.09256111479926558,0.10594182035984284
ENSG00000001617,0.14877635527634223,0.15040177392898593
ENSG00000001626,0.0,0.0
ENSG00000001629,0.0,0.0
ENSG00000001630,0.0,0.0
ENSG00000001631,0.0,0.0
ENSG00000002016,0.09327721934884527,0.0
ENSG00000002079,0.24507838340181554,0.2540263606555436
ENSG00000002330,0.12490976144727763,0.1059251335715172
ENSG00000002549,0.0,0.0
ENSG00000002586,0.1291427115931879,0.11091090975378576
ENSG00000002587,0.18924972049804817,0.19249846856483724
ENSG00000002726,0.0,0.0
ENSG00000002745,0.0,0.0
ENSG00000002746,0.20575874121711488,0.20697512201386314
ENSG00000002822,0.08722224401730093,0.09103799784960523
ENSG00000002834,0.19100518100688946,0.1588810518906089
ENSG00000002919,0.0,0.0
ENSG00000002933,0.0,0.0
ENSG00000003056,0.0,0.0
ENSG00000003096,0.13031271638863445,0.14859791071645165
ENSG00000003137,0.27159195956898363,0.27906961240861766
ENSG00000003147,0.0,0.0
ENSG00000003249,0.12284821995714372,0.1165527173040828
ENSG00000003393,0.0,0.0
ENSG00000003400,0.0,0.0
ENSG00000003402,0.0,0.0
ENSG00000003436,0.2884024102871106,0.2880365384181081
ENSG00000003509,0.0,0.0
ENSG00000003756,0.28769056977118423,0.28300250929771226
ENSG00000003987,0.12672746254592165,0.12825863937485957
ENSG00000003989,0.17526526261593853,0.16531748608090063
ENSG00000004059,0.0,0.0
ENSG00000004139,0.14306803537751495,0.16802259519041565
